event,mp,ammo,mre,part,input_level,rank,gun_id,name,mean%,stdev%,rank_total,rank_count,gun_total,gun_count
001圣建（23春节）,8000,1000,8000,4000,1,3,18,MAC-10,1.684,0.164,5878,1528,1528,99
001圣建（23春节）,8000,1000,8000,4000,1,3,22,PPS-43,1.956,0.176,5878,1528,1528,115
001圣建（23春节）,8000,1000,8000,4000,1,3,27,蝎式,1.803,0.170,5878,1528,1528,106
001圣建（23春节）,8000,1000,8000,4000,1,3,32,微型乌兹,1.650,0.163,5878,1528,1528,97
001圣建（23春节）,8000,1000,8000,4000,1,3,34,M1加兰德,1.327,0.147,5878,1528,1528,78
001圣建（23春节）,8000,1000,8000,4000,1,3,37,M14,1.174,0.139,5878,1528,1528,69
001圣建（23春节）,8000,1000,8000,4000,1,3,44,SV-98,1.395,0.151,5878,1528,1528,82
001圣建（23春节）,8000,1000,8000,4000,1,3,58,AK-47,0.732,0.110,5878,1528,1528,43
001圣建（23春节）,8000,1000,8000,4000,1,3,61,StG44,0.851,0.119,5878,1528,1528,50
001圣建（23春节）,8000,1000,8000,4000,1,3,70,FNC,0.953,0.126,5878,1528,1528,56
001圣建（23春节）,8000,1000,8000,4000,1,3,95,汉阳造88式,0.629,0.103,5878,1528,1528,37
001圣建（23春节）,8000,1000,8000,4000,1,3,105,OTs-12,0.970,0.127,5878,1528,1528,57
001圣建（23春节）,8000,1000,8000,4000,1,3,116,Z-62,1.514,0.156,5878,1528,1528,89
001圣建（23春节）,8000,1000,8000,4000,1,3,120,ARX-160,0.953,0.126,5878,1528,1528,56
001圣建（23春节）,8000,1000,8000,4000,1,3,145,OTs-44,1.446,0.153,5878,1528,1528,85
001圣建（23春节）,8000,1000,8000,4000,1,3,152,M1897,0.953,0.126,5878,1528,1528,56
001圣建（23春节）,8000,1000,8000,4000,1,3,154,M500,1.106,0.135,5878,1528,1528,65
001圣建（23春节）,8000,1000,8000,4000,1,3,158,KS-23,1.089,0.134,5878,1528,1528,64
001圣建（23春节）,8000,1000,8000,4000,1,3,159,RMB-93,0.987,0.128,5878,1528,1528,58
001圣建（23春节）,8000,1000,8000,4000,1,3,178,F1,1.922,0.175,5878,1528,1528,113
001圣建（23春节）,8000,1000,8000,4000,1,3,190,NS2000,0.902,0.122,5878,1528,1528,53
001圣建（23春节）,8000,1000,8000,4000,1,4,26,MP5,2.399,0.198,5878,2963,2963,141
001圣建（23春节）,8000,1000,8000,4000,1,4,36,春田,0.817,0.117,5878,2963,2963,48
001圣建（23春节）,8000,1000,8000,4000,1,4,39,莫辛-纳甘,0.987,0.129,5878,2963,2963,58
001圣建（23春节）,8000,1000,8000,4000,1,4,42,PTRD,0.953,0.127,5878,2963,2963,56
001圣建（23春节）,8000,1000,8000,4000,1,4,43,SVD,0.408,0.083,5878,2963,2963,24
001圣建（23春节）,8000,1000,8000,4000,1,4,60,AS Val,0.783,0.115,5878,2963,2963,46
001圣建（23春节）,8000,1000,8000,4000,1,4,66,56-1式,0.766,0.114,5878,2963,2963,45
001圣建（23春节）,8000,1000,8000,4000,1,4,69,FAMAS,0.749,0.113,5878,2963,2963,44
001圣建（23春节）,8000,1000,8000,4000,1,4,117,PSG-1,0.595,0.100,5878,2963,2963,35
001圣建（23春节）,8000,1000,8000,4000,1,4,118,9A-91,0.663,0.106,5878,2963,2963,39
001圣建（23春节）,8000,1000,8000,4000,1,4,146,G28,0.510,0.093,5878,2963,2963,30
001圣建（23春节）,8000,1000,8000,4000,1,4,153,M37,3.011,0.220,5878,2963,2963,177
001圣建（23春节）,8000,1000,8000,4000,1,4,155,M590,3.283,0.230,5878,2963,2963,193
001圣建（23春节）,8000,1000,8000,4000,1,4,156,超级肖蒂,1.310,0.148,5878,2963,2963,77
001圣建（23春节）,8000,1000,8000,4000,1,4,162,SPAS-12,2.824,0.214,5878,2963,2963,166
001圣建（23春节）,8000,1000,8000,4000,1,4,165,M1014,2.960,0.219,5878,2963,2963,174
001圣建（23春节）,8000,1000,8000,4000,1,4,180,PzB39,0.425,0.085,5878,2963,2963,25
001圣建（23春节）,8000,1000,8000,4000,1,4,184,T-5000,0.851,0.120,5878,2963,2963,50
001圣建（23春节）,8000,1000,8000,4000,1,4,189,USAS-12,1.922,0.178,5878,2963,2963,113
001圣建（23春节）,8000,1000,8000,4000,1,4,216,XM8,0.766,0.114,5878,2963,2963,45
001圣建（23春节）,8000,1000,8000,4000,1,4,235,SPR A3G,0.834,0.119,5878,2963,2963,49
001圣建（23春节）,8000,1000,8000,4000,1,4,237,SAR-21,0.715,0.110,5878,2963,2963,42
001圣建（23春节）,8000,1000,8000,4000,1,4,247,K31,0.732,0.111,5878,2963,2963,43
001圣建（23春节）,8000,1000,8000,4000,1,4,262,EM-2,0.800,0.116,5878,2963,2963,47
001圣建（23春节）,8000,1000,8000,4000,1,4,270,四式,0.834,0.119,5878,2963,2963,49
